32;4;8;0;muon
24;3;8;0;electron
31;5;9;0;muon
32;4;10;0;muon
36;4;8;0;muon
0;6;10;0;muon
0;3;7;1;electron
20;3;8;0;muon
35;4;8;0;muon
23;5;8;1;electron
34;4;9;1;muon
25;4;7;0;muon
30;2;11;0;muon
37;4;10;0;muon
31;5;8;0;muon
34;6;10;0;muon
25;4;8;0;muon
34;4;8;0;muon
26;5;12;0;muon
13;4;11;0;muon
39;3;7;1;muon
31;2;8;0;muon
0;4;5;0;electron
37;4;8;0;muon
31;4;8;1;muon
0;2;8;0;muon
42;4;8;0;muon
22;4;8;0;electron
38;4;8;0;electron
0;3;8;0;electron
30;5;9;0;electron
0;4;8;0;electron
30;4;10;0;muon
24;5;8;0;muon
36;3;8;0;electron
31;4;8;0;electron
0;2;8;0;muon
40;4;10;0;muon
20;4;8;1;electron
30;3;8;0;muon
28;4;8;0;muon
37;5;8;0;muon
0;6;8;0;muon
0;4;6;0;electron
29;3;8;0;muon
21;3;8;0;muon
0;4;9;0;electron
31;4;8;0;muon
39;4;12;0;muon
32;3;8;0;muon
31;4;8;0;muon
34;3;10;0;muon
34;4;10;0;muon
0;4;8;0;electron
35;4;11;1;electron
26;4;8;0;muon
33;4;10;0;muon
0;4;8;0;electron
0;5;8;0;muon
28;4;7;0;muon
29;5;6;0;electron
30;4;10;0;muon
38;2;8;0;muon
41;3;8;0;electron
10;3;8;0;muon
25;4;10;0;muon
0;4;7;0;muon
26;3;10;0;muon
33;3;8;0;electron
33;4;7;0;muon
29;4;9;0;muon
26;5;7;1;muon
37;3;9;0;muon
36;3;8;0;muon
37;4;8;0;muon
10;4;6;0;muon
38;5;10;0;muon
36;4;8;0;muon
29;4;8;0;muon
32;4;9;0;muon
41;4;8;0;muon
35;4;8;1;electron
25;5;5;0;electron
27;4;11;0;muon
30;1;8;1;muon
18;4;8;0;electron
29;4;8;0;muon
23;5;10;0;muon
37;4;8;0;electron
32;3;8;0;muon
36;4;10;0;muon
0;4;12;0;muon
28;4;8;0;muon
38;4;7;0;muon
32;3;8;0;muon
31;4;8;0;muon
26;4;8;0;muon
0;4;8;1;muon
33;4;8;0;muon
22;4;8;1;muon
37;4;6;1;muon
38;2;8;0;electron
26;3;8;0;muon
32;4;8;0;muon
42;4;8;0;electron
29;4;8;0;electron
0;4;8;0;muon
26;4;10;1;muon
30;3;8;0;electron
31;3;8;0;electron
29;4;8;0;muon
22;4;10;0;muon
36;4;8;0;muon
0;5;6;1;muon
31;4;8;0;muon
0;4;8;1;muon
0;4;8;1;electron
0;4;8;0;electron
0;3;10;0;electron
36;5;8;1;muon
37;5;10;0;muon
0;4;4;0;electron
39;4;8;0;muon
22;4;8;0;muon
0;4;6;0;electron
36;2;7;0;electron
30;4;8;0;muon
36;4;9;0;muon
19;4;8;0;muon
35;6;8;0;muon
20;4;8;0;electron
32;4;9;0;muon
32;4;10;0;muon
36;4;8;0;electron
35;5;10;0;electron
35;4;8;1;muon
28;3;8;0;muon
25;3;7;0;muon
27;5;8;0;muon
31;4;8;0;muon
17;4;8;0;muon
30;3;8;0;muon
29;3;9;0;muon
40;4;10;0;muon
26;4;8;0;muon
24;4;9;0;electron
19;3;8;0;muon
35;5;10;0;muon
40;4;11;0;electron
29;4;10;0;electron
21;4;8;1;muon
40;4;8;0;muon
34;5;10;0;muon
37;5;8;0;muon
0;5;8;0;muon
35;5;9;1;muon
0;3;10;0;muon
36;4;8;0;muon
20;2;9;0;electron
34;4;8;0;muon
38;3;8;1;muon
35;4;10;1;muon
34;4;8;0;muon
28;4;8;0;muon
0;4;8;0;muon
0;5;8;1;muon
34;4;8;0;muon
26;3;10;0;muon
12;5;10;0;muon
35;4;8;0;electron
22;2;8;0;electron
21;3;8;0;electron
0;3;8;0;muon
40;4;8;0;muon
26;4;8;0;muon
25;3;6;0;muon
38;4;10;0;electron
0;6;10;0;muon
31;5;8;0;muon
38;4;8;1;electron
25;4;10;0;muon
25;5;8;0;muon
41;5;11;0;electron
0;5;8;1;muon
41;3;12;0;muon
21;4;9;0;electron
0;5;8;0;muon
34;5;7;0;muon
32;5;6;0;electron
33;2;8;0;electron
19;5;8;0;muon
32;4;9;0;muon
21;3;8;0;electron
32;5;9;1;muon
35;5;8;0;muon
0;5;8;0;muon
34;3;9;0;muon
39;3;8;0;muon
34;5;6;0;muon
34;4;8;0;electron
22;4;7;0;muon
38;4;8;0;muon
0;4;9;0;muon
25;4;7;0;muon
35;4;10;0;muon
34;4;8;0;muon
32;4;8;0;muon
34;4;8;0;muon
27;4;7;0;electron
26;3;9;0;muon
30;4;10;0;muon
37;4;10;0;electron
34;5;6;0;muon
35;4;8;0;muon
37;5;6;0;muon
0;5;10;0;muon
34;4;8;0;electron
33;5;9;0;electron
34;4;8;0;muon
34;4;8;0;muon
32;4;8;0;electron
28;5;6;0;muon
21;4;10;0;muon
33;4;10;0;muon
13;3;8;0;muon
38;3;9;0;electron
0;6;8;1;muon
31;5;8;0;muon
0;5;12;0;muon
29;5;8;0;muon
35;5;8;0;muon
29;4;12;0;muon
40;4;9;0;muon
33;2;8;0;muon
38;4;8;0;muon
36;4;11;0;muon
